CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
1003011201,Alabama,Baldwin,4715,2240,2475,2.8,85.4,8.6,0.0,3.1,0.0,3369,58053.0,10989.0,39980.0,5612.0,18.8,25.3,43.8,21.5,22.4,5.9,6.3,77.3,10.8,0.0,1.4,2.0,8.5,22.8,1885,77.6,12.1,10.3,0.0,3.2
1003011202,Alabama,Baldwin,6097,2537,3560,2.9,74.5,19.4,0.0,2.7,0.0,4391,51206.0,7483.0,32720.0,7319.0,11.7,16.2,37.3,21.3,23.8,5.0,12.7,88.1,1.8,0.0,0.0,8.1,2.0,24.2,2361,73.7,22.4,3.0,0.8,4.6
1003011300,Alabama,Baldwin,4713,2147,2566,6.0,89.3,4.6,0.2,0.0,0.0,3436,58844.0,14932.0,35544.0,4707.0,14.3,17.7,37.2,9.4,33.0,13.7,6.8,78.6,11.6,0.0,1.2,0.0,8.5,29.2,1856,84.1,9.3,6.6,0.0,4.5
1003011401,Alabama,Baldwin,10709,5198,5511,5.4,83.8,9.3,0.0,0.1,0.0,7996,48413.0,4765.0,21058.0,2604.0,11.3,20.2,24.7,16.7,33.5,8.4,16.7,92.5,5.2,0.0,0.1,0.6,1.6,23.6,4160,90.8,4.4,4.8,0.0,9.8
1003011403,Alabama,Baldwin,9461,4222,5239,7.1,89.6,1.1,0.4,0.1,0.0,7798,45160.0,7113.0,35923.0,6847.0,7.5,3.9,34.7,23.4,26.0,7.0,8.9,78.8,10.7,0.0,1.5,2.2,6.8,21.5,4584,84.8,7.1,6.8,1.3,7.5
1003011405,Alabama,Baldwin,3709,1806,1903,8.7,90.4,0.6,0.0,0.2,0.0,3215,65087.0,9084.0,44062.0,6332.0,6.2,5.5,46.7,13.6,27.2,7.4,5.2,79.5,14.7,0.0,0.7,1.2,3.9,25.5,1446,82.6,10.8,6.0,0.6,8.2
1003011406,Alabama,Baldwin,3600,1676,1924,2.5,85.6,0.0,0.2,5.4,0.0,2332,41970.0,10387.0,23273.0,4826.0,24.9,29.2,17.3,30.5,25.1,13.6,13.5,66.4,13.0,0.0,10.9,1.5,8.1,17.2,1758,89.0,6.7,4.4,0.0,11.4
1003011407,Alabama,Baldwin,4946,2425,2521,1.4,89.9,0.1,0.0,1.0,0.0,4155,34464.0,19790.0,30306.0,6979.0,21.6,35.9,35.7,17.4,39.3,7.0,0.6,72.9,18.8,0.0,0.0,5.2,3.1,25.0,1808,83.5,9.5,7.0,0.0,22.9
1003011408,Alabama,Baldwin,704,311,393,0.0,100.0,0.0,0.0,0.0,0.0,672,52159.0,15281.0,31581.0,7705.0,5.8,0.0,15.4,31.4,39.6,11.1,2.5,79.1,8.4,0.0,4.4,0.0,8.1,19.1,280,72.9,18.6,8.6,0.0,18.8
1003011501,Alabama,Baldwin,5771,2686,3085,2.4,90.3,5.1,0.0,0.8,0.0,4569,41417.0,14204.0,23583.0,3003.0,13.6,24.5,46.6,20.6,17.0,6.7,9.2,83.7,11.3,0.0,2.1,1.2,1.7,19.7,2496,77.1,17.8,4.0,1.0,6.9
1003011502,Alabama,Baldwin,11549,5590,5959,6.7,69.8,19.3,1.5,0.0,0.0,8823,39525.0,8172.0,20085.0,2986.0,26.1,56.8,25.3,18.8,36.4,14.4,5.2,76.1,18.9,0.0,2.0,0.3,2.7,26.0,4466,77.6,15.2,7.3,0.0,15.3
1003011601,Alabama,Baldwin,6445,3193,3252,9.2,88.5,1.1,0.8,0.0,0.0,4737,37102.0,6910.0,19546.0,3013.0,23.9,41.5,24.0,26.6,20.9,12.8,15.8,84.4,7.0,0.0,1.8,0.2,6.6,28.5,2901,75.9,12.5,11.3,0.3,6.8
1003011602,Alabama,Baldwin,5724,2812,2912,2.6,88.7,5.4,0.5,1.3,0.0,4781,45782.0,4891.0,26699.0,3180.0,8.5,9.9,27.6,29.6,19.0,10.6,13.1,90.2,4.6,0.9,0.0,2.4,1.9,31.8,2077,82.4,10.8,6.1,0.8,3.0
1003990000,Alabama,Baldwin,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,
1005950100,Alabama,Barbour,3524,1663,1861,3.8,48.6,47.0,0.6,0.0,0.0,2733,38365.0,11339.0,19383.0,2706.0,23.8,44.8,31.5,16.2,20.0,5.8,26.5,83.0,9.0,0.0,1.9,2.9,3.2,27.8,1308,70.2,23.4,6.4,0.0,21.0
1005950200,Alabama,Barbour,4320,2796,1524,1.8,32.7,63.3,0.6,0.1,0.0,3807,28715.0,3952.0,12346.0,1764.0,30.1,43.2,21.5,20.0,27.5,6.9,24.1,78.9,12.6,0.0,4.0,3.3,1.2,24.9,873,66.8,28.8,4.5,0.0,22.9
1005950300,Alabama,Barbour,1682,856,826,2.0,47.2,49.0,0.0,0.0,0.0,1348,28427.0,2789.0,17046.0,3504.0,33.5,64.4,23.4,16.6,16.4,18.9,24.7,79.0,9.1,0.0,7.0,2.6,2.3,33.7,535,77.0,19.6,3.4,0.0,10.5
1005950400,Alabama,Barbour,3606,2392,1214,4.4,58.0,36.8,0.1,0.0,0.0,3070,38311.0,4890.0,14763.0,1946.0,16.2,23.1,25.8,17.3,16.1,16.1,24.6,82.7,9.6,3.7,1.7,2.2,0.0,33.3,948,68.7,21.9,9.4,0.0,13.4
1005950500,Alabama,Barbour,3907,2033,1874,7.1,57.9,26.6,0.0,2.9,0.0,2659,36426.0,5139.0,17255.0,2776.0,30.4,45.5,22.4,12.7,35.9,11.9,17.1,80.3,17.0,0.0,0.5,0.0,2.2,21.4,1334,76.6,9.7,13.7,0.0,17.1
1005950600,Alabama,Barbour,1959,932,1027,12.3,50.9,35.3,0.0,0.0,0.0,1334,28321.0,4920.0,13753.0,1797.0,32.5,53.5,13.5,22.0,31.0,10.6,23.0,87.6,9.8,0.0,0.4,0.7,1.4,18.7,710,84.2,12.7,2.4,0.7,8.7
1005950700,Alabama,Barbour,1896,792,1104,0.3,38.5,61.0,0.0,0.0,0.0,1394,24464.0,8062.0,18980.0,2784.0,32.3,57.4,32.0,12.4,24.9,13.2,17.5,85.5,10.0,0.0,4.5,0.0,0.0,15.6,675,76.9,19.1,4.0,0.0,13.1
1005950800,Alabama,Barbour,2093,1008,1085,7.3,50.2,41.9,0.0,0.0,0.0,1579,38389.0,4860.0,21716.0,3071.0,13.7,18.4,42.1,13.7,15.3,11.3,17.6,88.3,9.2,0.0,0.0,0.0,2.5,19.6,876,57.2,31.2,11.2,0.5,7.6
1005950900,Alabama,Barbour,3945,2025,1920,4.2,35.5,57.5,0.0,0.0,0.0,2790,29891.0,7072.0,18699.0,2360.0,28.6,52.5,26.5,16.4,18.2,9.0,30.0,88.1,9.6,0.0,0.0,1.4,0.9,22.1,1338,72.3,22.3,5.5,0.0,27.5
1007010001,Alabama,Bibb,2874,1672,1202,4.3,85.0,5.5,0.0,0.5,0.0,2188,44612.0,6386.0,17690.0,2744.0,8.6,11.5,25.9,14.2,11.3,14.9,33.6,84.9,9.1,0.0,1.7,1.5,2.7,34.9,972,77.0,16.9,3.1,3.1,15.0
1007010002,Alabama,Bibb,6511,3103,3408,5.0,89.9,4.2,0.4,0.0,0.0,4511,40357.0,6244.0,19018.0,2668.0,23.9,32.4,21.4,13.0,11.0,29.9,24.7,89.6,7.6,0.4,0.0,2.0,0.4,30.6,2321,84.0,7.5,8.5,0.0,10.7
1007010003,Alabama,Bibb,4848,2300,2548,0.0,78.5,20.2,1.3,0.0,0.0,3793,41769.0,8792.0,22851.0,6334.0,15.7,32.1,21.0,16.4,24.4,12.6,25.5,77.8,20.0,0.6,0.0,0.6,1.1,32.9,2017,79.7,14.0,6.3,0.0,9.1
1007010004,Alabama,Bibb,8371,4998,3373,0.6,56.6,41.0,0.1,0.1,0.0,7003,34108.0,3149.0,15669.0,1614.0,14.2,25.7,20.6,24.0,20.6,16.3,18.6,81.4,14.9,0.7,1.1,1.8,0.1,22.7,2984,69.3,24.1,6.6,0.0,3.3
1009050101,Alabama,Blount,7598,3863,3735,16.8,77.0,5.3,0.0,0.1,0.0,5251,40982.0,8667.0,19487.0,2076.0,19.1,28.5,27.7,14.0,21.8,12.4,24.2,82.7,10.9,0.0,4.5,0.1,1.9,29.3,3056,85.2,10.8,4.0,0.0,6.6
1009050102,Alabama,Blount,7518,3412,4106,21.2,72.3,3.3,0.0,0.0,0.0,4999,43325.0,9484.0,21474.0,2496.0,19.3,40.7,38.5,9.8,22.7,13.5,15.5,87.5,10.0,0.0,0.0,0.0,2.5,32.5,2686,74.2,19.7,6.1,0.0,8.3
1009050200,Alabama,Blount,3412,1665,1747,14.4,84.4,0.2,0.0,0.1,0.0,2550,46813.0,8297.0,20511.0,2197.0,14.1,14.1,25.3,17.8,17.2,14.9,24.7,85.0,8.2,0.1,0.9,0.9,4.8,34.8,1488,86.5,10.0,2.9,0.6,7.5
1009050300,Alabama,Blount,5246,2649,2597,11.8,83.2,0.2,1.0,0.0,0.0,3881,37548.0,9655.0,17165.0,2087.0,28.0,40.4,21.5,10.7,22.4,11.7,33.7,86.3,12.1,0.0,0.1,0.2,1.3,37.7,1798,81.9,14.2,3.8,0.0,9.3
1009050400,Alabama,Blount,4764,2345,2419,5.8,93.0,0.0,0.0,0.1,0.0,3463,39100.0,6764.0,18580.0,1820.0,22.4,33.6,23.8,16.3,24.6,21.2,14.1,86.8,9.4,0.6,0.0,1.1,2.1,30.3,1709,80.2,11.9,7.9,0.0,11.5
1009050500,Alabama,Blount,7007,3734,3273,8.1,88.2,1.5,0.7,0.1,0.0,5045,40055.0,8054.0,18345.0,1479.0,20.2,29.5,34.4,8.3,21.9,14.4,21.0,78.8,17.1,0.0,1.0,0.5,2.6,35.6,2352,82.5,14.4,3.1,0.0,8.5
1009050601,Alabama,Blount,4127,2082,2045,0.3,97.8,1.0,0.1,0.0,0.0,3235,45568.0,14092.0,20134.0,2195.0,12.5,17.2,22.2,21.8,23.7,11.9,20.5,89.1,6.6,2.5,0.2,1.0,0.5,35.6,1636,78.1,18.3,3.5,0.0,3.4
1009050602,Alabama,Blount,9263,4261,5002,1.2,97.0,0.3,0.2,0.3,0.0,7027,66067.0,10101.0,26501.0,2396.0,7.3,11.9,34.8,14.9,26.5,10.1,13.8,83.8,12.4,0.8,0.3,0.7,2.1,37.0,4094,81.9,14.2,2.0,2.0,7.3
1009050700,Alabama,Blount,8775,4501,4274,0.4,97.3,0.4,0.5,0.4,0.0,6894,46452.0,5167.0,19345.0,1727.0,12.8,25.0,20.4,16.4,28.4,15.1,19.6,86.4,10.8,0.0,0.0,0.0,2.8,39.2,3370,85.6,9.2,5.2,0.0,7.0
1011952100,Alabama,Bullock,1989,921,1068,0.0,6.2,93.4,0.0,0.5,0.0,1483,29189.0,4667.0,16103.0,2717.0,29.1,59.5,17.2,22.1,19.4,8.2,33.0,74.1,23.6,0.0,0.0,1.3,1.0,27.0,696,81.3,16.4,2.3,0.0,11.3
1011952200,Alabama,Bullock,5726,3125,2601,8.3,17.2,73.1,0.1,0.2,0.0,4193,31355.0,9046.0,16559.0,2145.0,22.7,30.4,11.6,14.1,15.3,26.3,32.7,76.7,14.3,0.2,8.7,0.0,0.0,21.4,2205,83.7,9.8,6.5,0.0,16.5
1011952500,Alabama,Bullock,2963,1614,1349,0.0,42.6,50.9,4.0,0.0,0.0,2381,39792.0,11821.0,20543.0,5241.0,24.9,35.7,36.5,11.7,30.1,14.3,7.4,71.5,10.0,2.4,0.0,5.7,10.5,43.7,964,68.7,26.5,4.9,0.0,25.0
1013952700,Alabama,Butler,2244,1028,1216,0.0,61.1,36.5,0.0,0.6,0.0,1789,30517.0,3947.0,19180.0,2714.0,20.3,35.2,22.6,17.6,21.0,10.7,28.0,82.9,15.7,0.0,0.7,0.7,0.0,24.9,952,87.7,10.0,2.3,0.0,5.2
1013952800,Alabama,Butler,1473,626,847,0.0,69.0,29.5,0.0,0.0,0.0,1189,47500.0,10370.0,25712.0,3418.0,12.0,11.6,35.1,15.3,26.1,11.2,12.3,86.2,4.3,0.0,2.4,2.1,5.0,26.3,721,60.6,31.6,7.8,0.0,4.1
1013952900,Alabama,Butler,2297,1149,1148,7.1,39.3,52.5,0.0,1.0,0.0,1612,34936.0,4528.0,18921.0,3363.0,32.2,49.9,30.5,22.3,8.7,8.3,30.2,82.7,16.3,0.0,1.0,0.0,0.0,19.3,915,76.8,15.1,7.4,0.7,11.5
1013953000,Alabama,Butler,1516,734,782,0.0,58.3,36.6,0.0,2.8,0.0,1091,45750.0,15469.0,21133.0,3743.0,23.9,40.0,31.1,3.9,25.8,14.1,25.2,72.7,20.6,0.0,0.0,2.2,4.5,27.7,640,73.9,19.5,6.6,0.0,8.7
1013953100,Alabama,Butler,3039,1374,1665,0.0,21.6,77.0,0.0,0.0,0.0,2192,21167.0,5660.0,12154.0,1578.0,40.7,71.5,14.2,23.5,37.9,1.6,22.8,83.5,16.2,0.0,0.0,0.3,0.0,21.0,964,83.1,15.6,1.3,0.0,19.7
1013953200,Alabama,Butler,3793,1669,2124,1.5,61.7,35.7,0.0,0.0,0.0,2873,32282.0,3919.0,20009.0,2127.0,18.1,23.7,33.0,12.5,21.8,12.3,20.5,89.7,7.8,0.0,0.5,0.5,1.5,24.8,1520,77.0,17.4,5.6,0.0,8.9
1013953300,Alabama,Butler,1839,938,901,0.0,89.4,9.0,0.0,0.0,0.0,1475,42841.0,9502.0,21881.0,3707.0,18.2,17.6,33.1,10.1,18.0,17.2,21.6,87.3,8.0,0.0,0.8,0.0,3.9,28.6,755,72.2,17.1,10.7,0.0,8.9
1013953400,Alabama,Butler,2824,1415,1409,0.0,39.4,60.2,0.4,0.0,0.0,2240,25516.0,4832.0,15762.0,1633.0,27.6,36.0,26.9,22.7,21.8,10.0,18.6,84.9,12.0,0.0,1.0,0.0,2.0,23.5,899,78.3,11.0,9.8,0.9,15.3
